name,popularity,followers,genres,spotify_url
Justin Bieber,91,81660274,,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
Coldplay,91,57622019,,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU
Morgan Wallen,91,12259939,country,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM
David Guetta,89,27008707,"edm, dance",https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai
JENNIE,89,9669240,k-pop,https://open.spotify.com/artist/250b0Wlc5Vk0CoUsaCY84M
J Balvin,89,38131918,"reggaeton, latin",https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5
Shakira,89,37444758,"latin pop, latin",https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp
Ed Sheeran,89,119861182,soft pop,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
Chris Brown,89,25922716,r&b,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z
KAROL G,89,55878604,"reggaeton, latin, urbano latino",https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla
Dua Lipa,89,45782757,pop,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we
Gracie Abrams,89,5171471,,https://open.spotify.com/artist/4tuJ0bMpJh08umKkEXKUI5
Post Malone,89,46790309,,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
Metro Boomin,88,10749426,,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp
Arctic Monkeys,88,29638477,"indie, garage rock",https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Imagine Dragons,88,56882057,,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
Doechii,88,2655601,,https://open.spotify.com/artist/4E2rKHVDssGJm2SCDOMMJB
Selena Gomez,88,52251291,pop,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx
Pitbull,87,11462773,,https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg
Calvin Harris,87,23128833,edm,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY
Teddy Swims,87,4464870,,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump
Daddy Yankee,87,36851943,"reggaeton, latin",https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m
Maroon 5,87,44529195,pop,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP
Beyoncé,87,40034449,,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
Adele,87,63444995,soft pop,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
Doja Cat,87,33018270,,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5
Nicki Minaj,87,33688574,,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh
ROSÉ,86,10893993,k-pop,https://open.spotify.com/artist/3eVa5w3URK5duf6eyVDbu9
Sia,86,29660012,,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN
Benson Boone,86,5200241,,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET
Katy Perry,86,36636796,pop,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X
The Beatles,85,29694335,"classic rock, psychedelic rock",https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2
Michael Jackson,85,35281830,,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm
benny blanco,85,1402358,,https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa
JAY-Z,84,9958857,"hip hop, east coast hip hop, rap",https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB
Miley Cyrus,84,25789377,,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6
OneRepublic,84,18121500,soft pop,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ
Sam Smith,84,25606027,soft pop,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
Britney Spears,83,16461037,pop,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4
Ne-Yo,83,9717274,,https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj
Wiz Khalifa,83,11961419,rap,https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop
Marshmello,83,34170033,edm,https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T
Pharrell Williams,82,5119661,,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8
Flo Rida,82,8907792,,https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY
Ellie Goulding,81,12984213,,https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ
Bebe Rexha,79,9572251,,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb
Diplo,78,2766706,moombahton,https://open.spotify.com/artist/5fMUXHkw8R8eOP2RNVYEZX
Jennifer Lopez,77,13515773,,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR
The Script,77,8566043,,https://open.spotify.com/artist/3AQRLZ9PuTAozP28Skbq8V
Lil Nas X,75,12366416,,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
The Fray,75,4203570,,https://open.spotify.com/artist/0zOcE3mg9nS6l3yxt1Y0bK
Bastille,75,5646988,,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc
AFROJACK,75,4001824,"edm, big room",https://open.spotify.com/artist/4D75GcNG95ebPtNvoNVXhz
Wyclef Jean,73,389845,,https://open.spotify.com/artist/7aBzpmFXB4WWpPl2F7RjBe
Nayer,72,31790,latin dance,https://open.spotify.com/artist/1ruutHJcECI7cos2n5TqpO
The Wiggles,70,312130,"children's music, lullaby",https://open.spotify.com/artist/2JY5qzEozvTdogkDTkkOMf
Dwele,69,307160,"neo soul, smooth r&b",https://open.spotify.com/artist/7u6LfVyYpEzMpHLL7jTyvU
Sam Feldt,69,793793,tropical house,https://open.spotify.com/artist/20gsENnposVs2I4rQ5kvrf
Seeb,69,365694,,https://open.spotify.com/artist/5iNrZmtVMtYev5M9yoWpEq
CG5,66,1979025,nerdcore,https://open.spotify.com/artist/3YJDqtTSjydvUpTvU1fJ6O
Kaskade,66,982231,edm,https://open.spotify.com/artist/6TQj5BFPooTa08A7pk8AQ1
Alexis Ffrench,65,182021,neoclassical,https://open.spotify.com/artist/58R31AvN8JMHM7xkNpVLjX
Billy Ray Cyrus,63,278225,,https://open.spotify.com/artist/60rpJ9SgigSd16DOAG7GSa
Steve Angello,63,624123,progressive house,https://open.spotify.com/artist/4FqPRilb0Ja0TKG3RS3y4s
Freya Ridings,63,456775,,https://open.spotify.com/artist/5pDjmC5mRl7vDJhsjVwNfk
Claudia Leitte,62,1082870,"axé, brazilian pop",https://open.spotify.com/artist/2OjoIDVPQKT9B7loZbPEfp
GAYLE,62,655581,,https://open.spotify.com/artist/2VSHKHBTiXWplO8lxcnUC9
Phillip Phillips,62,1136460,folk pop,https://open.spotify.com/artist/6p5JxpTc7USNnBnLzctyd4
Robin S,61,114048,eurodance,https://open.spotify.com/artist/2WvLeseDGPX1slhmxI59G3
Gavin DeGraw,61,1269361,,https://open.spotify.com/artist/5DYAABs8rkY9VhwtENoQCz
Lustra,61,94141,,https://open.spotify.com/artist/3IJ770I1QPmwVp7yug0eJ4
Crazy Frog,61,626018,,https://open.spotify.com/artist/4J3wzDMI97AlGimdiVcaLb
Lunar Skybox,60,14390,,https://open.spotify.com/artist/76BVRXGW3GAFk4cXxAX1Ba
Parry Gripp,59,361396,children's music,https://open.spotify.com/artist/56P8qdYp640M24wkk9eTfc
"""Weird Al"" Yankovic",58,975459,"comedy, polka",https://open.spotify.com/artist/1bDWGdIC2hardyt55nlQgG
Laidback Luke,57,392370,"big room, electro house",https://open.spotify.com/artist/53cQZtWDwDJwVCNZlfJ6Qk
Spongebob Squarepants,56,413865,children's music,https://open.spotify.com/artist/3zCAmjKyHsG7kTGsls1cfj
Ole-Bjørn Talstad,55,2788,,https://open.spotify.com/artist/1RRY8KBuZYuhAAJRgdDlP9
VeggieTales,54,115807,children's music,https://open.spotify.com/artist/4QKx7KohkWZAOkO4sI3GRx
Funny Minions Guys,53,98014,,https://open.spotify.com/artist/5Gq9iqKuF8TIcKyEGtfDMk
Cut Through Noise,52,551,,https://open.spotify.com/artist/6bgoY8Xpz46ismO4k65Evu
Retrosoft,52,2580,,https://open.spotify.com/artist/1eLL2TZpQ3F8kzohiaGLhc
Leonz,52,150396,,https://open.spotify.com/artist/5WY1yCgtVHWjKPI5nwLSue
Jozef De Schutter,51,3091,,https://open.spotify.com/artist/3h4qdlsSNxMXLzlaITwT7o
Andrew Gold,50,95448,,https://open.spotify.com/artist/5fmvGUlMVgmnCn45f1he7d
Oscar Mallen,50,1252,,https://open.spotify.com/artist/0rpHfK2QFCVaoXwooHki3o
Klur,49,27627,"melodic house, progressive house",https://open.spotify.com/artist/5Y1YwWzFX7BIxBbdAOXOEJ
The Bucketheads,49,19875,,https://open.spotify.com/artist/1yjuFciXmV3NaPCzwwHclC
Quad City DJ's,47,81610,miami bass,https://open.spotify.com/artist/4mar1GMMEhvGyJdWagu6KS
Lankybox,46,197066,,https://open.spotify.com/artist/5ZW1R5JS4WcZiDOmpfhS7d
Your Favorite Martian,46,250364,"meme rap, comedy",https://open.spotify.com/artist/4J6UXkUpIArZbKXhh0cOC2
Grandayy,46,78117,meme rap,https://open.spotify.com/artist/5SpHs4OAjck5i6GiCUlyBV
Hyper Potions,46,137246,future bass,https://open.spotify.com/artist/1KkjjsBwGqU2YjS9OIucZV
Robert B. Sherman,46,2984,,https://open.spotify.com/artist/7n0XJOct9yv45fCWY3t0UJ
Richard M. Sherman,46,8558,,https://open.spotify.com/artist/13Namx9iwUl1a57CcELGTb
Trap Music Now,45,35232,,https://open.spotify.com/artist/1cQnHsdUqpQ1z8D5uZyXPP
Danny Magee,44,3706,,https://open.spotify.com/artist/1MO6ykfddTcDkGUnfEHxnx
Naz Tokio,43,3218,tropical house,https://open.spotify.com/artist/2Ohz3BAbalahBYLuM836cd
Poopy Man,42,50437,,https://open.spotify.com/artist/34D8Pqawm29XlTE8445ezO
Bubble Guppies Cast,42,21810,children's music,https://open.spotify.com/artist/6pWkuBPSzAfEZP83VhSL99
Jonathan Coulton,42,110990,"comedy, nerdcore",https://open.spotify.com/artist/292sg99iIOc93zcd30r4Oz
Endigo,42,58222,,https://open.spotify.com/artist/6CMARBTk7A5cN9UW9LZqDj
Adam Sandler,42,178446,comedy,https://open.spotify.com/artist/2LB9H0px4qWbCHg9Axzhga
Keiron Raven,40,34647,,https://open.spotify.com/artist/2vxvNUp5PnFvueL36wxIoc
The Dwarf Chorus,40,4282,,https://open.spotify.com/artist/6oyAC5MXCvdwRH2bpPOmYz
"Bobby ""Boris"" Pickett",40,30134,,https://open.spotify.com/artist/42MRYPhQfcEXqb18dl5ERX
Cldr,40,30964,,https://open.spotify.com/artist/0rBTR006tODhAwpgtRDb3f
Felix Tanguy,39,793,,https://open.spotify.com/artist/5OJrYNaBOdmPu2XsvH7tiW
The Crypt-Kickers,39,3283,,https://open.spotify.com/artist/4frDtYgwXXKkbyQzjOmJG5
Kids Music Now,38,11109,,https://open.spotify.com/artist/18f9sd9u6QbY0tZq1D1j1W
Jarrod Alonge,38,45839,pop punk,https://open.spotify.com/artist/3zLWOB0I86EiVgG5NrX1ht
The Toilet Bowl Cleaners,37,36411,,https://open.spotify.com/artist/4FWTPurcjxX0pupmhL2Hes
Amine Ayad,37,497,,https://open.spotify.com/artist/1AyCO3Kq1tv1K87CBbC2KM
TheOdd1sOut,37,91885,,https://open.spotify.com/artist/5qwx5UF6qyRuQSchGwmZKW
Roomie,36,170567,,https://open.spotify.com/artist/3ti6KzYwDK7GTraIlnLUdu
TeraBrite,36,15425,,https://open.spotify.com/artist/6DwziXuEMIoXk1xXJCscbr
Elinaura,36,1133,,https://open.spotify.com/artist/1PHMZ5pRjowUYaUCXtOYVd
DJ Timbo and Friends,34,5748,,https://open.spotify.com/artist/2ueLrjAXRW78olDn1YFrqj
Annoying Orange,34,83850,,https://open.spotify.com/artist/7pksJydXdVatfwplYip7nl
Kharfi,34,7433,stutter house,https://open.spotify.com/artist/0f8a3ifFUu8Cd2NVs4KPVC
Skeppy,33,17471,,https://open.spotify.com/artist/4o84Vs5pBuB8azgiQyzzeT
CaptainPuffy,33,5270,,https://open.spotify.com/artist/4ZF7wQBi0coA8VYoMkkPMg
Jimmie Dodd,33,1241,,https://open.spotify.com/artist/3lXIWFdkU2fmvN6WO0vZWO
The Mouseketeers,33,3739,,https://open.spotify.com/artist/7vnmderMtsr4NY2OAr7bPZ
Bloxernicc,33,33217,,https://open.spotify.com/artist/7aFhfAl5HIGBcmdjI8rBHS
BadBoyHalo,33,207833,,https://open.spotify.com/artist/4xeULTO1rzrBHQ6XSRu0Bf
The Poxy Boggards,33,10748,"sea shanties, celtic rock, pirate metal, celtic",https://open.spotify.com/artist/02AfNHKlkhaU7geymsecab
McCreamy,29,22948,,https://open.spotify.com/artist/65ZGko8LsH08KWV1PfpWPS
Emanuel Fremont,29,1424,,https://open.spotify.com/artist/0RYljGNR9lf53Pg1BrHNQc
Boys Band Orchestra,28,3131,,https://open.spotify.com/artist/4RwLCq6oICc9j3kpEZYOwu
Libor Kolman,27,1714,,https://open.spotify.com/artist/5GWhfNzngahL2GIFq3NwHT
Bob Rivers,26,12274,"christmas, comedy",https://open.spotify.com/artist/2v7Q2VJ6Xo1rwwhfJ6piQw
Bart Baker,26,125532,,https://open.spotify.com/artist/0sSXa9z76TfMcbAZuokauq
Imitator Tots,26,8732,children's music,https://open.spotify.com/artist/6GV2xsgXl785KIfT2Vov6I
Mr Bean,25,22895,,https://open.spotify.com/artist/2rlKFCYdklMm9prcYLdvp6
Manuel Costa,25,8356,,https://open.spotify.com/artist/7AbYSzOocUvzy7DSJ9gm68
Caillou,25,2005,,https://open.spotify.com/artist/5UtrFOo0vH241oQGb28vKP
Emerald Rose,19,5586,celtic,https://open.spotify.com/artist/41NpybD4jScVGmYfqOgkJX
Disneyland Children's Chorus,15,2088,,https://open.spotify.com/artist/1qpjxlM5nmq9fyBvnRbXWw
Hot Stadium,13,333,,https://open.spotify.com/artist/5yXNlM1pvhOeIsZlvaT6vf
Bob Rivers & Twisted Radio,13,1227,christmas,https://open.spotify.com/artist/7LSj8VCfJkkw9FQkEnQZLc
Mrbeast,11,358835,,https://open.spotify.com/artist/6lDGgWGQbKDFvpF22frIVS
Squishmallows,8,18036,,https://open.spotify.com/artist/7h2hyp4Ft45CvWr2ftdXso
The Stadium Players,6,27,,https://open.spotify.com/artist/58r0iKLwk0ZtiQKZSLH9Vj
The Minions,6,14701,,https://open.spotify.com/artist/5ACYk5wWXF7IqX8hqFACuN
Library Bards,4,1371,nerdcore,https://open.spotify.com/artist/4W1rsYixbFSxtV8j3aMqdz
Fake Hypocrite,2,3291,,https://open.spotify.com/artist/2Ox1V9as5QiNQrbP0NwuWF
Al Cofre,1,3,,https://open.spotify.com/artist/7Cjj0mrv8CjhqaMhUeHUlT
Derp Bros.,0,3885,,https://open.spotify.com/artist/2FE1YmX6oLj15z9AeJ3pOp
Ray Chastain,0,102,,https://open.spotify.com/artist/2kJntSLSFAXobUJKENyzww
